Date Time, Water Level, Sigma, O, F, R, L, Quality 
2016-03-09 00:00,1.237,0.098,0,0,0,0,v
2016-03-09 00:06,1.250,0.075,0,0,0,0,v
2016-03-09 00:12,1.257,0.118,0,0,0,0,v
2016-03-09 00:18,1.257,0.115,0,0,0,0,v
2016-03-09 00:24,1.348,0.118,0,0,0,0,v
2016-03-09 00:30,1.306,0.102,0,0,0,0,v
2016-03-09 00:36,1.355,0.043,0,0,0,0,v
2016-03-09 00:42,1.385,0.098,0,0,0,0,v
2016-03-09 00:48,1.368,0.066,0,0,0,0,v
2016-03-09 00:54,1.371,0.151,0,0,0,0,v
2016-03-09 01:00,1.421,0.125,0,0,0,0,v
2016-03-09 01:06,1.421,0.105,0,0,0,0,v
2016-03-09 01:12,1.391,0.164,0,0,0,0,v
2016-03-09 01:18,1.427,0.138,0,0,0,0,v
2016-03-09 01:24,1.460,0.118,0,0,0,0,v
2016-03-09 01:30,1.450,0.085,0,0,0,0,v
2016-03-09 01:36,1.447,0.105,0,0,0,0,v
2016-03-09 01:42,1.473,0.102,0,0,0,0,v
2016-03-09 01:48,1.486,0.115,0,0,0,0,v
2016-03-09 01:54,1.509,0.066,0,0,0,0,v
2016-03-09 02:00,1.486,0.161,0,0,0,0,v
2016-03-09 02:06,1.529,0.066,0,0,0,0,v
2016-03-09 02:12,1.516,0.092,0,0,0,0,v
2016-03-09 02:18,1.490,0.069,0,0,0,0,v
2016-03-09 02:24,1.499,0.121,0,0,0,0,v
2016-03-09 02:30,1.470,0.082,0,0,0,0,v
2016-03-09 02:36,1.516,0.046,0,0,0,0,v
2016-03-09 02:42,1.496,0.079,0,0,0,0,v
2016-03-09 02:48,1.421,0.075,0,0,0,0,v
2016-03-09 02:54,1.499,0.092,0,0,0,0,v
2016-03-09 03:00,1.427,0.092,0,0,0,0,v
2016-03-09 03:06,1.411,0.135,0,0,0,0,v
2016-03-09 03:12,1.444,0.118,0,0,0,0,v
2016-03-09 03:18,1.348,0.085,0,0,0,0,v
2016-03-09 03:24,1.378,0.167,0,0,0,0,v
2016-03-09 03:30,1.283,0.066,0,0,0,0,v
2016-03-09 03:36,1.309,0.075,0,0,0,0,v
2016-03-09 03:42,1.276,0.098,0,0,0,0,v
2016-03-09 03:48,1.234,0.089,0,0,0,0,v
2016-03-09 03:54,1.217,0.108,0,0,0,0,v
2016-03-09 04:00,1.142,0.151,0,0,0,0,v
2016-03-09 04:06,1.145,0.075,0,0,0,0,v
2016-03-09 04:12,1.060,0.141,0,0,0,0,v
2016-03-09 04:18,0.997,0.131,0,0,0,0,v
2016-03-09 04:24,1.027,0.135,0,0,0,0,v
2016-03-09 04:30,0.935,0.075,0,0,0,0,v
2016-03-09 04:36,0.922,0.151,0,0,0,0,v
2016-03-09 04:42,0.840,0.098,0,0,0,0,v
2016-03-09 04:48,0.840,0.141,0,0,0,0,v
2016-03-09 04:54,0.751,0.069,0,0,0,0,v
2016-03-09 05:00,0.735,0.089,0,0,0,0,v
2016-03-09 05:06,0.689,0.203,0,0,0,0,v
2016-03-09 05:12,0.669,0.075,0,0,0,0,v
2016-03-09 05:18,0.633,0.187,0,0,0,0,v
2016-03-09 05:24,0.531,0.164,0,0,0,0,v
2016-03-09 05:30,0.541,0.171,0,0,0,0,v
2016-03-09 05:36,0.479,0.121,0,0,0,0,v
2016-03-09 05:42,0.459,0.121,0,0,0,0,v
2016-03-09 05:48,0.427,0.056,0,0,0,0,v
2016-03-09 05:54,0.397,0.164,0,0,0,0,v
2016-03-09 06:00,0.325,0.089,0,0,0,0,v
2016-03-09 06:06,0.305,0.066,0,0,0,0,v
2016-03-09 06:12,0.285,0.138,0,0,0,0,v
2016-03-09 06:18,0.243,0.069,0,0,0,0,v
2016-03-09 06:24,0.223,0.105,0,0,0,0,v
2016-03-09 06:30,0.220,0.085,0,0,0,0,v
2016-03-09 06:36,0.131,0.184,0,0,0,0,v
2016-03-09 06:42,0.161,0.180,0,0,0,0,v
2016-03-09 06:48,0.118,0.131,0,0,0,0,v
2016-03-09 06:54,0.079,0.089,0,0,0,0,v
2016-03-09 07:00,0.141,0.072,0,0,0,0,v
2016-03-09 07:06,0.085,0.066,0,0,0,0,v
2016-03-09 07:12,0.069,0.098,0,0,0,0,v
2016-03-09 07:18,0.079,0.138,0,0,0,0,v
2016-03-09 07:24,0.010,0.056,0,0,0,0,v
2016-03-09 07:30,0.062,0.138,0,0,0,0,v
2016-03-09 07:36,-0.013,0.138,0,0,0,0,v
