Año,Mes,Día,Hora(utc),Altura(mm)
2016,3,1,0,213 
2016,3,1,1,302 
2016,3,1,2,390 
2016,3,1,3,459 
2016,3,1,4,494 
2016,3,1,5,485 
2016,3,1,6,445 
2016,3,1,7,389 
2016,3,1,8,324 
2016,3,1,9,261 
2016,3,1,10,210 
2016,3,1,11,181 
2016,3,1,12,170 
2016,3,1,13,171 
2016,3,1,14,177 
2016,3,1,15,178 
2016,3,1,16,165 
2016,3,1,17,136 
2016,3,1,18,99 
2016,3,1,19,68 
2016,3,1,20,52 
2016,3,1,21,56 
2016,3,1,22,89 
2016,3,1,23,151 
2016,3,2,0,234 
2016,3,2,1,321 
2016,3,2,2,396 
2016,3,2,3,451 
2016,3,2,4,474 
2016,3,2,5,463 
2016,3,2,6,424 
2016,3,2,7,377 
2016,3,2,8,333 
2016,3,2,9,297 
2016,3,2,10,271 
2016,3,2,11,257 
2016,3,2,12,248 
2016,3,2,13,235 
2016,3,2,14,210 
2016,3,2,15,174 
2016,3,2,16,126 
2016,3,2,17,70 
2016,3,2,18,17 
2016,3,2,19,-15 
2016,3,2,20,-18 
2016,3,2,21,11 
2016,3,2,22,71 
2016,3,2,23,156 
2016,3,3,0,253 
2016,3,3,1,342 
2016,3,3,2,409 
2016,3,3,3,447 
2016,3,3,4,454 
2016,3,3,5,432 
2016,3,3,6,391 
2016,3,3,7,349 
2016,3,3,8,322 
2016,3,3,9,314 
2016,3,3,10,321 
2016,3,3,11,333 
2016,3,3,12,340 
2016,3,3,13,327 
2016,3,3,14,283 
2016,3,3,15,212 
2016,3,3,16,123 
2016,3,3,17,29 
2016,3,3,18,-52 
2016,3,3,19,-99 
2016,3,3,20,-100 
2016,3,3,21,-52 
2016,3,3,22,34 
2016,3,3,23,147 
2016,3,4,0,266 
2016,3,4,1,367 
2016,3,4,2,432 
2016,3,4,3,455 
2016,3,4,4,441 
2016,3,4,5,400 
2016,3,4,6,347 
2016,3,4,7,303 
2016,3,4,8,286 
2016,3,4,9,303 
2016,3,4,10,345 
2016,3,4,11,395 
2016,3,4,12,433 
2016,3,4,13,436 
2016,3,4,14,390 
2016,3,4,15,295 
2016,3,4,16,167 
2016,3,4,17,28 
2016,3,4,18,-94 
2016,3,4,19,-172 
2016,3,4,20,-185 
2016,3,4,21,-131 
2016,3,4,22,-23 
2016,3,4,23,119 
2016,3,5,0,268 
2016,3,5,1,391 
2016,3,5,2,465 
2016,3,5,3,480 
2016,3,5,4,444 
2016,3,5,5,376 
2016,3,5,6,301 
2016,3,5,7,243 
2016,3,5,8,224 
2016,3,5,9,256 
2016,3,5,10,330 
2016,3,5,11,422 
2016,3,5,12,503 
2016,3,5,13,543 
2016,3,5,14,517 
2016,3,5,15,418 
2016,3,5,16,262 
2016,3,5,17,80 
2016,3,5,18,-90 
2016,3,5,19,-213 
2016,3,5,20,-258 
2016,3,5,21,-216 
2016,3,5,22,-97 
2016,3,5,23,70 
2016,3,6,0,250 
2016,3,6,1,406 
2016,3,6,2,502 
2016,3,6,3,522 
2016,3,6,4,472 
2016,3,6,5,375 
2016,3,6,6,266 
2016,3,6,7,179 
2016,3,6,8,142 
2016,3,6,9,173 
2016,3,6,10,265 
2016,3,6,11,395 
2016,3,6,12,525 
2016,3,6,13,615 
2016,3,6,14,633 
2016,3,6,15,559 
2016,3,6,16,400 
2016,3,6,17,189 
2016,3,6,18,-26 
2016,3,6,19,-200 
2016,3,6,20,-294 
2016,3,6,21,-284 
2016,3,6,22,-175 
2016,3,6,23,3 
2016,3,7,0,209 
2016,3,7,1,399 
2016,3,7,2,530 
2016,3,7,3,572 
2016,3,7,4,523 
2016,3,7,5,407 
2016,3,7,6,262 
2016,3,7,7,134 
2016,3,7,8,61 
2016,3,7,9,67 
2016,3,7,10,156 
