Date Time, Water Level, Sigma, I, L 
2016-03-09 00:00,0.377,0.030,0,0
2016-03-09 01:00,0.433,0.038,0,0
2016-03-09 02:00,0.453,0.049,0,0
2016-03-09 03:00,0.435,0.028,0,0
2016-03-09 04:00,0.348,0.046,0,0
2016-03-09 05:00,0.224,0.027,0,0
2016-03-09 06:00,0.099,0.027,0,0
2016-03-09 07:00,0.043,0.022,0,0
2016-03-09 08:00,0.000,0.027,0,0
2016-03-09 09:00,0.079,0.031,0,0
2016-03-09 10:00,0.196,0.027,0,0
2016-03-09 11:00,0.323,0.023,0,0
2016-03-09 12:00,0.433,0.023,0,0
2016-03-09 13:00,0.526,0.022,0,0
2016-03-09 14:00,0.574,0.015,0,0
2016-03-09 15:00,0.564,0.025,0,0
2016-03-09 16:00,0.462,0.018,0,0
2016-03-09 17:00,0.281,0.015,0,0
2016-03-09 18:00,0.112,0.033,0,0
2016-03-09 19:00,-0.023,0.013,0,0
2016-03-09 20:00,-0.074,0.015,0,0
2016-03-09 21:00,-0.038,0.035,0,0
2016-03-09 22:00,0.022,0.023,0,0
2016-03-09 23:00,0.134,0.018,0,0
2016-03-10 00:00,0.275,0.024,0,0
2016-03-10 01:00,0.386,0.016,0,0
2016-03-10 02:00,0.498,0.020,0,0
2016-03-10 03:00,0.508,0.020,0,0
2016-03-10 04:00,0.431,0.014,0,0
2016-03-10 05:00,0.325,0.012,0,0
2016-03-10 06:00,0.169,0.013,0,0
2016-03-10 07:00,0.056,0.022,0,0
2016-03-10 08:00,-0.015,0.021,0,0
2016-03-10 09:00,-0.020,0.019,0,0
2016-03-10 10:00,0.033,0.013,0,0
2016-03-10 11:00,0.178,0.010,0,0
2016-03-10 12:00,0.299,0.013,0,0
2016-03-10 13:00,0.401,0.013,0,0
2016-03-10 14:00,0.474,0.016,0,0
2016-03-10 15:00,0.486,0.018,0,0
2016-03-10 16:00,0.407,0.017,0,0
2016-03-10 17:00,0.330,0.016,0,0
2016-03-10 18:00,0.200,0.020,0,0
2016-03-10 19:00,0.054,0.008,0,0
2016-03-10 20:00,-0.026,0.009,0,0
2016-03-10 21:00,-0.037,0.009,0,0
2016-03-10 22:00,0.024,0.011,0,0
2016-03-10 23:00,0.103,0.010,0,0
2016-03-11 00:00,0.225,0.011,0,0
2016-03-11 01:00,0.343,0.011,0,0
2016-03-11 02:00,0.464,0.013,0,0
2016-03-11 03:00,0.576,0.013,0,0
2016-03-11 04:00,0.572,0.014,0,0
2016-03-11 05:00,0.506,0.016,0,0
2016-03-11 06:00,0.382,0.015,0,0
2016-03-11 07:00,0.238,0.018,0,0
2016-03-11 08:00,0.112,0.016,0,0
2016-03-11 09:00,0.049,0.018,0,0
2016-03-11 10:00,0.059,0.015,0,0
2016-03-11 11:00,0.127,0.017,0,0
2016-03-11 12:00,0.222,0.019,0,0
2016-03-11 13:00,0.330,0.017,0,0
2016-03-11 14:00,0.382,0.015,0,0
2016-03-11 15:00,0.379,0.014,0,0
2016-03-11 16:00,0.375,0.017,0,0
2016-03-11 17:00,0.334,0.015,0,0
2016-03-11 18:00,0.239,0.016,0,0
2016-03-11 19:00,0.078,0.013,0,0
2016-03-11 20:00,-0.040,0.022,0,0
2016-03-11 21:00,-0.121,0.012,0,0
2016-03-11 22:00,-0.091,0.015,0,0
2016-03-11 23:00,-0.036,0.015,0,0
2016-03-12 00:00,0.116,0.016,0,0
2016-03-12 01:00,0.310,0.015,0,0
2016-03-12 02:00,0.469,0.020,0,0
2016-03-12 03:00,0.578,0.019,0,0
2016-03-12 04:00,0.625,0.019,0,0
2016-03-12 05:00,0.612,0.019,0,0
2016-03-12 06:00,0.536,0.018,0,0
2016-03-12 07:00,0.428,0.016,0,0
2016-03-12 08:00,0.287,0.015,0,0
2016-03-12 09:00,0.207,0.016,0,0
2016-03-12 10:00,0.159,0.016,0,0
2016-03-12 11:00,0.163,0.015,0,0
2016-03-12 12:00,0.181,0.013,0,0
2016-03-12 13:00,0.239,0.016,0,0
2016-03-12 14:00,0.298,0.016,0,0
2016-03-12 15:00,0.343,0.019,0,0
2016-03-12 16:00,0.369,0.016,0,0
2016-03-12 17:00,0.345,0.015,0,0
2016-03-12 18:00,0.305,0.008,0,0
2016-03-12 19:00,0.213,0.008,0,0
2016-03-12 20:00,0.112,0.012,0,0
2016-03-12 21:00,0.014,0.009,0,0
2016-03-12 22:00,-0.027,0.006,0,0
2016-03-12 23:00,-0.001,0.010,0,0
2016-03-13 00:00,0.076,0.008,0,0
2016-03-13 01:00,0.178,0.008,0,0
2016-03-13 02:00,0.333,0.010,0,0
2016-03-13 03:00,0.458,0.009,0,0
2016-03-13 04:00,0.560,0.018,0,0
2016-03-13 05:00,0.626,0.018,0,0
2016-03-13 06:00,0.606,0.017,0,0
2016-03-13 07:00,0.575,0.016,0,0
2016-03-13 08:00,0.465,0.013,0,0
2016-03-13 09:00,0.346,0.016,0,0
2016-03-13 10:00,0.257,0.018,0,0
2016-03-13 11:00,0.206,0.016,0,0
2016-03-13 12:00,0.186,0.016,0,0
2016-03-13 13:00,0.200,0.017,0,0
2016-03-13 14:00,0.256,0.017,0,0
2016-03-13 15:00,0.308,0.017,0,0
2016-03-13 16:00,0.402,0.015,0,0
2016-03-13 17:00,0.419,0.016,0,0
2016-03-13 18:00,0.419,0.022,0,0
2016-03-13 19:00,0.349,0.020,0,0
2016-03-13 20:00,0.234,0.019,0,0
2016-03-13 21:00,0.125,0.024,0,0
2016-03-13 22:00,0.042,0.025,0,0
2016-03-13 23:00,0.012,0.024,0,0
2016-03-14 00:00,0.032,0.025,0,0
2016-03-14 01:00,0.121,0.023,0,0
2016-03-14 02:00,0.237,0.021,0,0
2016-03-14 03:00,0.354,0.027,0,0
2016-03-14 04:00,0.496,0.021,0,0
2016-03-14 05:00,0.562,0.023,0,0
2016-03-14 06:00,0.588,0.026,0,0
2016-03-14 07:00,0.584,0.023,0,0
2016-03-14 08:00,0.523,0.026,0,0
2016-03-14 09:00,0.451,0.024,0,0
2016-03-14 10:00,0.359,0.029,0,0
2016-03-14 11:00,0.288,0.027,0,0
2016-03-14 12:00,0.244,0.018,0,0
2016-03-14 13:00,0.224,0.015,0,0
2016-03-14 14:00,0.247,0.018,0,0
2016-03-14 15:00,0.286,0.026,0,0
2016-03-14 16:00,0.343,0.023,0,0
2016-03-14 17:00,0.382,0.021,0,0
2016-03-14 18:00,0.381,0.020,0,0
2016-03-14 19:00,0.353,0.018,0,0
2016-03-14 20:00,0.294,0.018,0,0
2016-03-14 21:00,0.214,0.019,0,0
2016-03-14 22:00,0.156,0.020,0,0
2016-03-14 23:00,0.094,0.019,0,0
2016-03-15 00:00,0.062,0.016,0,0
2016-03-15 01:00,0.074,0.026,0,0
2016-03-15 02:00,0.139,0.023,0,0
2016-03-15 03:00,0.232,0.018,0,0
2016-03-15 04:00,0.356,0.020,0,0
2016-03-15 05:00,0.454,0.020,0,0
2016-03-15 06:00,0.565,0.019,0,0
2016-03-15 07:00,0.621,0.021,0,0
2016-03-15 08:00,0.599,0.020,0,0
2016-03-15 09:00,0.555,0.018,0,0
2016-03-15 10:00,0.476,0.019,0,0
2016-03-15 11:00,0.381,0.020,0,0
2016-03-15 12:00,0.330,0.023,0,0
2016-03-15 13:00,0.272,0.020,0,0
2016-03-15 14:00,0.253,0.020,0,0
2016-03-15 15:00,0.253,0.017,0,0
2016-03-15 16:00,0.278,0.019,0,0
2016-03-15 17:00,0.282,0.020,0,0
2016-03-15 18:00,0.297,0.019,0,0
2016-03-15 19:00,0.315,0.018,0,0
2016-03-15 20:00,0.311,0.015,0,0
2016-03-15 21:00,0.299,0.017,0,0
2016-03-15 22:00,0.233,0.023,0,0
2016-03-15 23:00,0.180,0.015,0,0
2016-03-16 00:00,0.110,0.018,0,0
2016-03-16 01:00,0.067,0.018,0,0
2016-03-16 02:00,0.083,0.014,0,0
2016-03-16 03:00,0.153,0.019,0,0
2016-03-16 04:00,0.276,0.015,0,0
2016-03-16 05:00,0.384,0.016,0,0
2016-03-16 06:00,0.477,0.015,0,0
2016-03-16 07:00,0.535,0.023,0,0
2016-03-16 08:00,0.603,0.020,0,0
2016-03-16 09:00,0.589,0.014,0,0
2016-03-16 10:00,0.555,0.016,0,0
2016-03-16 11:00,0.489,0.017,0,0
2016-03-16 12:00,0.408,0.012,0,0
2016-03-16 13:00,0.344,0.015,0,0
2016-03-16 14:00,0.282,0.012,0,0
2016-03-16 15:00,0.259,0.016,0,0
2016-03-16 16:00,0.231,0.012,0,0
2016-03-16 17:00,0.213,0.011,0,0
2016-03-16 18:00,0.213,0.015,0,0
2016-03-16 19:00,0.238,0.015,0,0
2016-03-16 20:00,0.262,0.013,0,0
2016-03-16 21:00,0.271,0.013,0,0
2016-03-16 22:00,0.262,0.019,0,0
2016-03-16 23:00,0.206,0.011,0,0
2016-03-17 00:00,0.147,0.016,0,0
2016-03-17 01:00,0.098,0.012,0,0
2016-03-17 02:00,0.058,0.014,0,0
2016-03-17 03:00,0.072,0.013,0,0
2016-03-17 04:00,0.104,0.016,0,0
2016-03-17 05:00,0.189,0.011,0,0
2016-03-17 06:00,0.298,0.014,0,0
2016-03-17 07:00,0.388,0.014,0,0
2016-03-17 08:00,0.499,0.012,0,0
2016-03-17 09:00,0.583,0.016,0,0
2016-03-17 10:00,0.608,0.013,0,0
2016-03-17 11:00,0.579,0.015,0,0
2016-03-17 12:00,0.481,0.012,0,0
2016-03-17 13:00,0.369,0.015,0,0
2016-03-17 14:00,0.269,0.015,0,0
2016-03-17 15:00,0.211,0.017,0,0
2016-03-17 16:00,0.172,0.019,0,0
2016-03-17 17:00,0.148,0.017,0,0
2016-03-17 18:00,0.149,0.020,0,0
2016-03-17 19:00,0.179,0.027,0,0
2016-03-17 20:00,0.247,0.029,0,0
2016-03-17 21:00,0.298,0.020,0,0
2016-03-17 22:00,0.324,0.026,0,0
2016-03-17 23:00,0.309,0.024,0,0
2016-03-18 00:00,0.247,0.032,0,0
2016-03-18 01:00,0.186,0.024,0,0
2016-03-18 02:00,0.112,0.023,0,0
2016-03-18 03:00,0.074,0.021,0,0
2016-03-18 04:00,0.062,0.021,0,0
2016-03-18 05:00,0.144,0.021,0,0
2016-03-18 06:00,0.242,0.030,0,0
2016-03-18 07:00,0.346,0.027,0,0
2016-03-18 08:00,0.447,0.017,0,0
2016-03-18 09:00,0.525,0.026,0,0
2016-03-18 10:00,0.591,0.031,0,0
2016-03-18 11:00,0.588,0.040,0,0
2016-03-18 12:00,0.529,0.042,0,0
2016-03-18 13:00,0.466,0.028,0,0
2016-03-18 14:00,0.357,0.038,0,0
2016-03-18 15:00,0.267,0.029,0,0
2016-03-18 16:00,0.222,0.035,0,0
2016-03-18 17:00,0.196,0.030,0,0
2016-03-18 18:00,0.183,0.023,0,0
2016-03-18 19:00,0.194,0.028,0,0
2016-03-18 20:00,0.250,0.031,0,0
2016-03-18 21:00,0.290,0.027,0,0
2016-03-18 22:00,0.294,0.036,0,0
2016-03-18 23:00,0.342,0.035,0,0
2016-03-19 00:00,0.296,0.041,0,0
2016-03-19 01:00,0.277,0.027,0,0
2016-03-19 02:00,0.206,0.036,0,0
2016-03-19 03:00,0.131,0.052,0,0
2016-03-19 04:00,0.086,0.033,0,0
2016-03-19 05:00,0.077,0.027,0,0
2016-03-19 06:00,0.133,0.034,0,0
2016-03-19 07:00,0.197,0.037,0,0
2016-03-19 08:00,0.308,0.026,0,0
2016-03-19 09:00,0.429,0.042,0,0
2016-03-19 10:00,0.550,0.045,0,0
2016-03-19 11:00,0.612,0.029,0,0
2016-03-19 12:00,0.600,0.043,0,0
2016-03-19 13:00,0.551,0.035,0,0
2016-03-19 14:00,0.440,0.029,0,0
2016-03-19 15:00,0.330,0.019,0,0
2016-03-19 16:00,0.234,0.017,0,0
2016-03-19 17:00,0.188,0.016,0,0
2016-03-19 18:00,0.153,0.027,0,0
2016-03-19 19:00,0.146,0.018,0,0
2016-03-19 20:00,0.185,0.020,0,0
2016-03-19 21:00,0.256,0.024,0,0
2016-03-19 22:00,0.318,0.029,0,0
2016-03-19 23:00,0.367,0.030,0,0
2016-03-20 00:00,0.355,0.030,0,0
2016-03-20 01:00,0.325,0.023,0,0
2016-03-20 02:00,0.246,0.025,0,0
2016-03-20 03:00,0.194,0.026,0,0
2016-03-20 04:00,0.126,0.024,0,0
2016-03-20 05:00,0.088,0.022,0,0
2016-03-20 06:00,0.096,0.023,0,0
2016-03-20 07:00,0.164,0.015,0,0
2016-03-20 08:00,0.286,0.026,0,0
2016-03-20 09:00,0.369,0.022,0,0
2016-03-20 10:00,0.445,0.026,0,0
2016-03-20 11:00,0.534,0.017,0,0
2016-03-20 12:00,0.588,0.022,0,0
2016-03-20 13:00,0.574,0.027,0,0
2016-03-20 14:00,0.499,0.024,0,0
2016-03-20 15:00,0.399,0.021,0,0
2016-03-20 16:00,0.268,0.017,0,0
2016-03-20 17:00,0.175,0.020,0,0
2016-03-20 18:00,0.106,0.020,0,0
2016-03-20 19:00,0.097,0.018,0,0
2016-03-20 20:00,0.168,0.018,0,0
2016-03-20 21:00,0.242,0.024,0,0
2016-03-20 22:00,0.315,0.021,0,0
2016-03-20 23:00,0.381,0.021,0,0
2016-03-21 00:00,0.421,0.019,0,0
2016-03-21 01:00,0.398,0.019,0,0
2016-03-21 02:00,0.342,0.023,0,0
2016-03-21 03:00,0.268,0.018,0,0
2016-03-21 04:00,0.163,0.019,0,0
2016-03-21 05:00,0.089,0.020,0,0
2016-03-21 06:00,0.055,0.022,0,0
2016-03-21 07:00,0.097,0.014,0,0
2016-03-21 08:00,0.185,0.018,0,0
2016-03-21 09:00,0.264,0.021,0,0
2016-03-21 10:00,0.373,0.016,0,0
2016-03-21 11:00,0.477,0.018,0,0
2016-03-21 12:00,0.533,0.023,0,0
2016-03-21 13:00,0.581,0.017,0,0
2016-03-21 14:00,0.527,0.019,0,0
2016-03-21 15:00,0.430,0.022,0,0
2016-03-21 16:00,0.305,0.014,0,0
2016-03-21 17:00,0.174,0.022,0,0
2016-03-21 18:00,0.101,0.016,0,0
2016-03-21 19:00,0.100,0.019,0,0
2016-03-21 20:00,0.139,0.018,0,0
2016-03-21 21:00,0.209,0.016,0,0
2016-03-21 22:00,0.286,0.020,0,0
2016-03-21 23:00,0.377,0.016,0,0
2016-03-22 00:00,0.450,0.014,0,0
2016-03-22 01:00,0.478,0.018,0,0
2016-03-22 02:00,0.425,0.019,0,0
2016-03-22 03:00,0.342,0.018,0,0
2016-03-22 04:00,0.242,0.016,0,0
2016-03-22 05:00,0.160,0.014,0,0
2016-03-22 06:00,0.097,0.015,0,0
2016-03-22 07:00,0.096,0.012,0,0
2016-03-22 08:00,0.143,0.018,0,0
2016-03-22 09:00,0.222,0.016,0,0
2016-03-22 10:00,0.320,0.017,0,0
2016-03-22 11:00,0.447,0.018,0,0
2016-03-22 12:00,0.511,0.015,0,0
2016-03-22 13:00,0.550,0.018,0,0
2016-03-22 14:00,0.534,0.017,0,0
2016-03-22 15:00,0.464,0.015,0,0
2016-03-22 16:00,0.348,0.017,0,0
2016-03-22 17:00,0.233,0.020,0,0
2016-03-22 18:00,0.142,0.017,0,0
2016-03-22 19:00,0.090,0.016,0,0
2016-03-22 20:00,0.095,0.017,0,0
2016-03-22 21:00,0.141,0.012,0,0
2016-03-22 22:00,0.259,0.014,0,0
2016-03-22 23:00,0.372,0.014,0,0
2016-03-23 00:00,0.436,0.022,0,0
2016-03-23 01:00,0.483,0.016,0,0
2016-03-23 02:00,0.491,0.013,0,0
2016-03-23 03:00,0.442,0.016,0,0
2016-03-23 04:00,0.353,0.023,0,0
2016-03-23 05:00,0.239,0.017,0,0
2016-03-23 06:00,0.139,0.015,0,0
2016-03-23 07:00,0.088,0.017,0,0
